"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Docker", "JavaScript", "Go Checksum File", "Go", "Vue", "MS SQL", "YAML", "Dotenv", "SCSS", "XML", "HTTP", "Go Module File", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\ZBase_test.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\encrypt\Encrypt.go", "Go", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 42
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\encrypt\Encrypt_test.go", "Go", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\jwt\Jwt.go", "Go", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 73
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\jwt\Jwt_test.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\requests.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 23, 16, 73
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 184
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\album.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 51
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\artist.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 9, 143
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\comment.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 5, 72
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\home.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 126
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\login.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 128
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\playlist.js", "JavaScript", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 12, 176
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\search.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 52
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\song.js", "JavaScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 9, 114
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\user.js", "JavaScript", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 15, 213
