"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "Vue", "HTML", "TOML", "YAML", "Docker", "HTTP", "XML", "SCSS", "Go Module File", "Python", "Go Checksum File", "Dotenv", "Go", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\AllArtists.vue", "Vue", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\PlayList.vue", "Vue", 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 235
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\PlaylistGrid.vue", "Vue", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 157
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\AboutSite.vue", "Vue", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 106
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\AddPlaylist.vue", "Vue", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 119
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\PlaylistUpdate.vue", "Vue", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 136
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Home\SystemStats.vue", "Vue", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 197
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Nav\index.vue", "Vue", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 409
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Pagination\index.vue", "Vue", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 130
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\BigPlayer.vue", "Vue", 0, 0, 0, 0, 695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 721
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\PlayerCover.vue", "Vue", 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 327
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\PlayerRecord.vue", "Vue", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 93
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\index.vue", "Vue", 0, 0, 0, 0, 750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 776
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Provider\index.vue", "Vue", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 124
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\main.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 34
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\naive-ui.d.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\index.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 60
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\routes.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 163
