"filename", "language", "TypeScript", "Markdown", "JSON", "Vue", "TOML", "HTTP", "HTML", "Go Module File", "Python", "YAML", "Go Checksum File", "Go", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\song.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 13, 154
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\system.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 49
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -142, -56, -15, -213
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\user.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 49
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\video.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -16, -5, -51
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\AllArtists.vue", "Vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\PlayList.vue", "Vue", 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 235
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataList\PlaylistGrid.vue", "Vue", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 157
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\AddPlaylist.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\PlaylistUpdate.vue", "Vue", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Home\SystemStats.vue", "Vue", 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 197
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Nav\index.vue", "Vue", 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, -6
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Pagination\index.vue", "Vue", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 129
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\BigPlayer.vue", "Vue", 0, 0, 0, 695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 721
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\PlayerCover.vue", "Vue", 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 327
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\PlayerRecord.vue", "Vue", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 93
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\index.vue", "Vue", 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 16, 361
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\SearchInp\index.vue", "Vue", 0, 0, 0, -501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16, -518
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\index.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\routes.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 110
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\musicData.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 155
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\userData.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\encrypt.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 20
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\lyricFormat.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 8, 48
